time_ground,flux_ground
5.570575500000000346e+01,1.000208999999999904e+00
5.570922699999999850e+01,9.992729999999999668e-01
5.571269900000000064e+01,9.996000000000000441e-01
5.571617100000000278e+01,9.988059999999999716e-01
5.571964299999999781e+01,9.967040000000000344e-01
5.572311499999999995e+01,1.001015999999999906e+00
5.572658799999999957e+01,9.995129999999999848e-01
5.573006000000000171e+01,1.002917000000000058e+00
5.573353199999999674e+01,9.985800000000000232e-01
5.573700399999999888e+01,1.001530000000000031e+00
5.574047600000000102e+01,9.970250000000000501e-01
5.574394800000000316e+01,1.000402000000000013e+00
5.574741999999999820e+01,9.961250000000000382e-01
5.575089200000000034e+01,1.002439999999999998e+00
5.575436499999999995e+01,9.962180000000000479e-01
5.575783700000000209e+01,9.927280000000000548e-01
5.576130899999999713e+01,9.884870000000000045e-01
5.576478099999999927e+01,9.890799999999999592e-01
5.576825300000000141e+01,9.889210000000000500e-01
5.577172500000000355e+01,9.872840000000000504e-01
5.577519699999999858e+01,9.892450000000000410e-01
5.577866900000000072e+01,9.936239999999999517e-01
5.578214200000000034e+01,9.955950000000000077e-01
5.578561400000000248e+01,9.985779999999999657e-01
5.578908599999999751e+01,9.998430000000000373e-01
5.579255799999999965e+01,9.981729999999999769e-01
5.579603000000000179e+01,9.993579999999999686e-01
5.579950199999999683e+01,1.000830000000000108e+00
5.580297399999999897e+01,1.002348000000000017e+00
5.580644600000000111e+01,1.000188999999999995e+00
5.580991800000000325e+01,9.998960000000000070e-01
5.581339100000000286e+01,9.991609999999999658e-01
5.581686299999999790e+01,9.999500000000000055e-01
5.582033500000000004e+01,1.001082000000000027e+00
5.582380700000000218e+01,1.006289999999999907e+00
5.582727899999999721e+01,1.000744000000000078e+00
5.583075099999999935e+01,9.978869999999999685e-01
5.583422300000000149e+01,9.970909999999999496e-01
5.583769499999999653e+01,1.001168999999999976e+00
5.584116800000000325e+01,1.005244999999999944e+00
5.584463999999999828e+01,1.003252000000000033e+00
5.584811200000000042e+01,1.001891000000000087e+00
5.585158400000000256e+01,1.005268999999999968e+00
5.635157000000000238e+01,9.986159999999999481e-01
5.635504199999999742e+01,1.002386999999999917e+00
5.635851399999999956e+01,1.001125000000000043e+00
5.636198600000000170e+01,1.000787000000000093e+00
5.636545799999999673e+01,9.998650000000000038e-01
5.636892999999999887e+01,1.000803000000000109e+00
5.637240200000000101e+01,9.994429999999999703e-01
5.637587400000000315e+01,9.996289999999999898e-01
5.637934700000000277e+01,1.000658999999999965e+00
5.638281899999999780e+01,9.995429999999999593e-01
5.638629099999999994e+01,1.001837000000000089e+00
5.638976300000000208e+01,9.981640000000000512e-01
5.639323499999999711e+01,9.991210000000000369e-01
5.639670699999999925e+01,9.989850000000000119e-01
5.640017900000000139e+01,9.990229999999999944e-01
5.640365100000000353e+01,1.000634000000000023e+00
5.640712400000000315e+01,9.977979999999999627e-01
5.641059599999999818e+01,9.915599999999999969e-01
5.641406800000000032e+01,9.901290000000000369e-01
5.641754000000000246e+01,9.903269999999999573e-01
5.642101199999999750e+01,9.886160000000000503e-01
5.642448399999999964e+01,9.912940000000000085e-01
5.642795600000000178e+01,9.916199999999999459e-01
5.643142799999999681e+01,9.984979999999999967e-01
5.643489999999999895e+01,9.999350000000000183e-01
5.643837299999999857e+01,9.994899999999999896e-01
5.644184500000000071e+01,1.000728999999999980e+00
5.644531700000000285e+01,1.000339000000000089e+00
5.644878899999999788e+01,9.995709999999999873e-01
5.645226100000000002e+01,1.000895000000000090e+00
5.645573300000000216e+01,1.000520000000000076e+00
5.645920499999999720e+01,9.988439999999999541e-01
5.646267699999999934e+01,9.987230000000000274e-01
5.646614999999999895e+01,1.000372999999999957e+00
5.646962200000000109e+01,1.000409000000000104e+00
5.647309400000000323e+01,1.001366999999999896e+00
5.647656599999999827e+01,9.988890000000000269e-01
5.648003800000000041e+01,9.996519999999999850e-01
5.648351000000000255e+01,1.000896999999999926e+00
5.648698199999999758e+01,1.000266000000000099e+00
5.649045399999999972e+01,9.989660000000000206e-01
5.649392699999999934e+01,9.979479999999999462e-01
5.649739900000000148e+01,9.994750000000000023e-01
5.650087099999999651e+01,9.991659999999999986e-01
5.650434299999999865e+01,1.000321000000000016e+00
5.650781500000000079e+01,1.000072000000000072e+00
5.651128700000000293e+01,1.001031999999999922e+00
5.651475899999999797e+01,9.998939999999999495e-01
5.651823100000000011e+01,1.000370999999999899e+00
5.652170399999999972e+01,1.000426999999999955e+00
5.652517600000000186e+01,1.001058999999999921e+00
5.652864799999999690e+01,1.000777999999999945e+00
5.653211999999999904e+01,1.000331999999999999e+00
5.653559200000000118e+01,1.000153000000000070e+00
5.653906400000000332e+01,1.000944999999999974e+00
5.654253599999999835e+01,9.996369999999999978e-01
5.654600800000000049e+01,1.000399000000000038e+00
5.654948100000000011e+01,1.000377999999999989e+00
5.655295300000000225e+01,9.991229999999999833e-01
5.655642499999999728e+01,9.992039999999999811e-01
5.655989699999999942e+01,9.974819999999999798e-01
5.656336900000000156e+01,1.000069000000000097e+00
5.656684099999999660e+01,9.995849999999999458e-01
5.657031299999999874e+01,9.979620000000000157e-01
5.657378500000000088e+01,1.000401000000000096e+00
5.657725800000000049e+01,9.992959999999999621e-01
5.658073000000000263e+01,1.000494999999999912e+00
5.658420199999999767e+01,9.989200000000000301e-01
5.658767399999999981e+01,9.998449999999999838e-01
5.659114600000000195e+01,1.001098000000000043e+00
5.659461799999999698e+01,9.995399999999999840e-01
5.659808999999999912e+01,1.001576000000000022e+00
5.660156200000000126e+01,9.997089999999999588e-01
5.660503400000000340e+01,9.997249999999999748e-01
5.660850700000000302e+01,9.997169999999999668e-01
5.661197899999999805e+01,9.983610000000000539e-01
5.661545100000000019e+01,1.002674000000000065e+00
5.661892300000000233e+01,9.997350000000000403e-01
5.662239499999999737e+01,1.001482999999999901e+00
5.662586699999999951e+01,1.001236999999999933e+00
5.662933900000000165e+01,1.000399000000000038e+00
5.663281099999999668e+01,1.000291000000000041e+00
5.663628400000000340e+01,1.001695000000000002e+00
5.663975599999999844e+01,1.000669999999999948e+00
5.664322800000000058e+01,9.985629999999999784e-01
5.664670000000000272e+01,9.987690000000000179e-01
5.665017199999999775e+01,9.980360000000000342e-01
5.665364399999999989e+01,1.001803999999999917e+00
5.665711600000000203e+01,1.001614000000000004e+00
5.666058799999999707e+01,9.990759999999999641e-01
5.666406099999999668e+01,9.988629999999999454e-01
5.666753299999999882e+01,1.000069000000000097e+00
5.667100500000000096e+01,9.994049999999999878e-01
5.667447700000000310e+01,9.983279999999999932e-01
5.667794899999999814e+01,9.995880000000000321e-01
5.668142100000000028e+01,9.997880000000000100e-01
5.668489300000000242e+01,9.992910000000000403e-01
5.668836499999999745e+01,1.001123999999999903e+00
