time_space,flux_space
6.451582200000000000e+01,1.001826000000000105e+00
6.451731399999999894e+01,1.000286000000000008e+00
6.451881099999999947e+01,1.000161999999999995e+00
6.452031200000000410e+01,1.000032000000000032e+00
6.452178999999999576e+01,1.001311000000000062e+00
6.452330399999999599e+01,9.994809999999999528e-01
6.452479800000000409e+01,9.997369999999999868e-01
6.452628400000000397e+01,9.991719999999999491e-01
6.452779800000000421e+01,1.000515999999999961e+00
6.452928300000000661e+01,9.992389999999999883e-01
6.453079300000000273e+01,9.996660000000000545e-01
6.453229500000000485e+01,9.989740000000000286e-01
6.453378399999999715e+01,1.000364999999999949e+00
6.453528699999999674e+01,1.000653999999999932e+00
6.453678399999999726e+01,9.988569999999999949e-01
6.453828199999999526e+01,9.997150000000000203e-01
6.453977399999999420e+01,1.000807000000000002e+00
6.454127400000000137e+01,9.994039999999999591e-01
6.454276900000000694e+01,9.993349999999999733e-01
6.454427499999999895e+01,9.995209999999999928e-01
6.454577199999999948e+01,9.995720000000000161e-01
6.454726700000000505e+01,9.989440000000000541e-01
6.454875900000000399e+01,9.994549999999999823e-01
6.455026100000000611e+01,9.995000000000000551e-01
6.455177500000000634e+01,1.001543000000000072e+00
6.455327499999999930e+01,9.992180000000000506e-01
6.455476699999999823e+01,9.993229999999999613e-01
6.455625499999999306e+01,9.998679999999999790e-01
6.455775599999999770e+01,1.000286999999999926e+00
6.455925299999999822e+01,9.998749999999999583e-01
6.456075300000000539e+01,1.000045999999999990e+00
6.456224799999999675e+01,1.002234000000000069e+00
6.456374599999999475e+01,1.000065999999999899e+00
6.456525600000000509e+01,1.000896000000000008e+00
6.456675400000000309e+01,9.999470000000000303e-01
6.456822999999999979e+01,1.000080000000000080e+00
6.456973299999999938e+01,1.001440000000000108e+00
6.457123500000000149e+01,1.000002000000000058e+00
6.457273200000000202e+01,1.000509000000000093e+00
6.457423500000000161e+01,9.998590000000000533e-01
6.457573899999999867e+01,9.980489999999999640e-01
6.457721600000000706e+01,9.987789999999999724e-01
6.457871600000000001e+01,1.001114999999999977e+00
6.458022300000000371e+01,9.997779999999999445e-01
6.458172000000000423e+01,9.999219999999999775e-01
6.458319400000000599e+01,9.993030000000000523e-01
6.458472500000000593e+01,1.001368000000000036e+00
6.458621300000000076e+01,1.000261000000000067e+00
6.458771199999999624e+01,9.999940000000000495e-01
6.458921599999999330e+01,9.986239999999999561e-01
6.459071299999999383e+01,1.000588999999999951e+00
6.459220500000000698e+01,9.985070000000000334e-01
6.459370300000000498e+01,9.995859999999999745e-01
6.459519199999999728e+01,9.998129999999999518e-01
6.459670500000000004e+01,1.001212999999999909e+00
6.459819600000000150e+01,9.995530000000000248e-01
6.459970099999999604e+01,1.000559999999999894e+00
6.460119199999999751e+01,9.993659999999999766e-01
6.460268200000000149e+01,9.991550000000000153e-01
6.460419199999999762e+01,1.000421999999999922e+00
6.460567399999999338e+01,1.001055000000000028e+00
6.460718099999999708e+01,9.985549999999999704e-01
6.460868100000000425e+01,1.000890999999999975e+00
6.461017999999999972e+01,9.997000000000000330e-01
6.461167600000000277e+01,9.997549999999999493e-01
6.461317300000000330e+01,1.000607000000000024e+00
6.461467199999999877e+01,9.998310000000000253e-01
6.461615899999999613e+01,1.001633999999999913e+00
6.461766900000000646e+01,1.000353999999999965e+00
6.461916499999999530e+01,9.987000000000000322e-01
6.462066299999999330e+01,1.000626000000000015e+00
6.462216100000000552e+01,1.000235999999999903e+00
6.462365900000000352e+01,9.999649999999999928e-01
6.462515799999999899e+01,1.000269999999999992e+00
6.462665499999999952e+01,1.000126000000000071e+00
6.462815399999999499e+01,9.985070000000000334e-01
6.462964999999999804e+01,1.000428000000000095e+00
6.463114899999999352e+01,9.991989999999999483e-01
6.463264700000000573e+01,1.000696999999999948e+00
6.463413199999999392e+01,9.990520000000000511e-01
6.463564200000000426e+01,9.995600000000000041e-01
6.463714899999999375e+01,9.985000000000000542e-01
6.463863700000000279e+01,9.994939999999999936e-01
6.464013799999999321e+01,9.995789999999999953e-01
6.464163299999999879e+01,9.991039999999999921e-01
6.464314099999999996e+01,1.001833999999999891e+00
6.464463299999999890e+01,1.000197000000000003e+00
6.464612599999999532e+01,9.989609999999999879e-01
6.464761400000000435e+01,9.996810000000000418e-01
6.464912200000000553e+01,1.000161000000000078e+00
6.465061400000000447e+01,9.980419999999999847e-01
6.465212099999999396e+01,1.000167999999999946e+00
6.465361699999999701e+01,1.000256999999999952e+00
6.465512499999999818e+01,1.000423999999999980e+00
6.465662299999999618e+01,1.000088000000000088e+00
6.465810100000000205e+01,1.000591000000000008e+00
6.465961099999999817e+01,9.997669999999999613e-01
6.466110500000000627e+01,1.000818999999999903e+00
6.466260300000000427e+01,1.000018000000000074e+00
6.466409299999999405e+01,9.994359999999999911e-01
6.466559800000000280e+01,9.983419999999999517e-01
6.466709799999999575e+01,9.994469999999999743e-01
6.466860300000000450e+01,9.987500000000000266e-01
6.467009899999999334e+01,1.001573999999999964e+00
6.467158700000000238e+01,9.998449999999999838e-01
6.467308900000000449e+01,9.986699999999999466e-01
6.467459999999999809e+01,1.000153000000000070e+00
6.467609299999999450e+01,1.000353999999999965e+00
6.467759100000000672e+01,9.990609999999999769e-01
6.467907800000000407e+01,1.000650000000000039e+00
6.468058000000000618e+01,9.992499999999999716e-01
6.468207400000000007e+01,1.000491999999999937e+00
6.468357199999999807e+01,9.996479999999999810e-01
6.468507099999999355e+01,1.000264999999999960e+00
6.468656300000000670e+01,1.000164000000000053e+00
6.468806499999999460e+01,1.000903000000000098e+00
6.468956599999999924e+01,9.996239999999999570e-01
6.469106100000000481e+01,9.995760000000000201e-01
6.469256099999999776e+01,1.000699000000000005e+00
6.469405600000000334e+01,1.000191000000000052e+00
6.469555400000000134e+01,1.000151000000000012e+00
6.469704299999999364e+01,9.987920000000000131e-01
6.469854999999999734e+01,9.999190000000000023e-01
6.470004900000000703e+01,9.982820000000000027e-01
6.470154999999999745e+01,1.000401000000000096e+00
6.470304299999999387e+01,9.994220000000000326e-01
6.470453600000000449e+01,9.994899999999999896e-01
6.470603900000000408e+01,9.994309999999999583e-01
6.470754900000000021e+01,9.998690000000000078e-01
6.470903900000000419e+01,1.001401999999999903e+00
6.471052400000000659e+01,1.000037000000000065e+00
6.471203400000000272e+01,1.000026999999999999e+00
6.471352799999999661e+01,1.000164000000000053e+00
6.471502700000000630e+01,1.000958999999999932e+00
6.471652199999999766e+01,1.001433000000000018e+00
6.471802200000000482e+01,1.000437000000000021e+00
6.471951900000000535e+01,9.992020000000000346e-01
6.472100799999999765e+01,1.000785000000000036e+00
6.472251599999999883e+01,9.994910000000000183e-01
6.472401299999999935e+01,1.000227999999999895e+00
6.472551099999999735e+01,9.998930000000000318e-01
6.472701999999999600e+01,9.998110000000000053e-01
6.472850599999999588e+01,1.000585000000000058e+00
6.473000899999999547e+01,9.992029999999999523e-01
6.473150200000000609e+01,9.995509999999999673e-01
6.473300000000000409e+01,1.000831000000000026e+00
6.473449700000000462e+01,1.000593999999999983e+00
6.473599500000000262e+01,1.000448000000000004e+00
6.473748899999999651e+01,9.995950000000000113e-01
6.473899099999999862e+01,9.995230000000000503e-01
6.474049899999999980e+01,1.000896000000000008e+00
6.474198800000000631e+01,9.983239999999999892e-01
6.474348500000000683e+01,1.000652000000000097e+00
6.474498300000000484e+01,1.001022999999999996e+00
6.474646900000000471e+01,1.000658999999999965e+00
6.474797100000000682e+01,1.000742999999999938e+00
6.474947600000000136e+01,9.990959999999999841e-01
6.475097399999999936e+01,9.988420000000000076e-01
6.475247899999999390e+01,1.000135999999999914e+00
6.475396899999999789e+01,1.000912999999999942e+00
6.475546799999999337e+01,1.000091999999999981e+00
6.475695000000000334e+01,1.000950999999999924e+00
6.475847400000000675e+01,9.990480000000000471e-01
6.475996100000000411e+01,1.000914000000000081e+00
6.476145800000000463e+01,1.000051000000000023e+00
6.476295600000000263e+01,1.000992000000000104e+00
6.476445400000000063e+01,9.998550000000000493e-01
6.476595199999999863e+01,9.993309999999999693e-01
6.476744399999999757e+01,9.994319999999999871e-01
6.476895100000000127e+01,1.000626999999999933e+00
6.477044700000000432e+01,9.997730000000000228e-01
6.477194299999999316e+01,9.992649999999999588e-01
6.477344100000000537e+01,1.000037000000000065e+00
6.477493200000000684e+01,1.000048000000000048e+00
6.477642899999999315e+01,1.000332999999999917e+00
6.477793400000000190e+01,1.000795000000000101e+00
6.477943199999999990e+01,9.991290000000000449e-01
6.478094099999999855e+01,1.001076999999999995e+00
6.478242899999999338e+01,9.996890000000000498e-01
6.478392599999999391e+01,1.001452000000000009e+00
6.478542400000000612e+01,9.994229999999999503e-01
6.478692100000000664e+01,1.000280000000000058e+00
6.478841900000000464e+01,9.995800000000000241e-01
6.478992200000000423e+01,1.000642000000000031e+00
6.479140800000000411e+01,9.987789999999999724e-01
6.479562900000000525e+01,1.001147999999999927e+00
6.479711399999999344e+01,9.994819999999999816e-01
